nccl_broadcast_ms,wall_broadcast_s,nccl_kernel_ms,wall_kernel_s,nccl_reduce_ms,wall_reduce_s,total_buffer_size_bytes
1805.57,1.80931,7.99818,0.00800936,1856.36,1.85636,2147483648
1835.74,1.83948,7.99709,0.00800835,1892.95,1.89295,2147483648
1804.22,1.80795,8.00198,0.00801641,1886.06,1.88606,2147483648
1819.15,1.82289,7.99795,0.00801061,1856.98,1.85699,2147483648
1804.27,1.80801,7.99744,0.00800959,1845.91,1.84592,2147483648
1838.35,1.84204,8.0057,0.00801733,1864.1,1.8641,2147483648
1817.4,1.82113,7.99837,0.00800998,1858.43,1.85844,2147483648
1835.44,1.83918,7.99693,0.00800883,1859.88,1.85988,2147483648
1814.22,1.81795,7.99795,0.00800974,1869.15,1.86915,2147483648
1832.23,1.83596,7.99635,0.00800806,1854.03,1.85403,2147483648
