nccl_broadcast_ms,wall_broadcast_s,nccl_kernel_ms,wall_kernel_s,nccl_reduce_ms,wall_reduce_s,total_buffer_size_bytes
3629.04,3.63652,15.986,0.0159977,3666.08,3.66608,4294967296
3629.01,3.63646,15.9932,0.0160047,3666.1,3.66609,4294967296
3629.07,3.63652,15.9929,0.0160072,3666.12,3.66612,4294967296
3629.03,3.63651,15.9848,0.0159986,3666.09,3.66609,4294967296
3629.03,3.63652,15.989,0.0160037,3666.06,3.66605,4294967296
3629.01,3.63649,15.9822,0.0159978,3666.05,3.66604,4294967296
3629.02,3.63651,15.9903,0.0160032,3666.1,3.66609,4294967296
3629.01,3.63649,15.9826,0.0159972,3666.13,3.66612,4294967296
3629.06,3.63655,15.9858,0.0159995,3666.03,3.66602,4294967296
3629.04,3.63652,15.9775,0.0159899,3666.02,3.66601,4294967296
