nccl_broadcast_ms,wall_broadcast_s,nccl_kernel_ms,wall_kernel_s,nccl_reduce_ms,wall_reduce_s,total_buffer_size_bytes
5453.75,5.46517,23.967,0.0239794,5506.06,5.50603,6442450944
5453.72,5.46515,23.967,0.023979,5505.66,5.50564,6442450944
5453.79,5.46522,23.9683,0.0239809,5510.03,5.51002,6442450944
5453.75,5.46514,23.9753,0.0239881,5504.67,5.50466,6442450944
5453.73,5.46513,23.9743,0.0239899,5507.33,5.50731,6442450944
5453.76,5.46519,23.9672,0.0239799,5505.14,5.50512,6442450944
5453.75,5.46518,23.9656,0.0239783,5514.85,5.51483,6442450944
5453.69,5.46513,23.9688,0.0239817,5503.71,5.50369,6442450944
5453.74,5.46518,23.9661,0.0239786,5504.82,5.5048,6442450944
5453.77,5.46521,23.9661,0.0239787,5505.37,5.50534,6442450944
