broadcast_s,h2d_transfer_s,kernel_execution_s,d2h_transfer_s,reduce_op_s,total_buffer_size_bytes
1.04142,0.395904,0.016013,0.374534,15.7184,4294967296
1.03703,0.395862,0.0160211,0.374504,15.7258,4294967296
1.0414,0.395889,0.0160226,0.37455,16.0162,4294967296
1.03957,0.39587,0.0160232,0.374482,15.7435,4294967296
1.03689,0.395889,0.0160205,0.374474,15.7178,4294967296
1.03705,0.395862,0.0160203,0.374515,15.8342,4294967296
1.03702,0.395901,0.0160225,0.374508,15.8801,4294967296
1.04165,0.395884,0.0160355,0.374495,15.7127,4294967296
1.03994,0.395835,0.0160139,0.374468,15.7962,4294967296
1.04236,0.395826,0.0159982,0.374475,15.7266,4294967296
