broadcast_s,h2d_transfer_s,kernel_execution_s,d2h_transfer_s,reduce_op_s,total_buffer_size_bytes
1.56407,0.593674,0.0240027,0.563507,23.8748,6442450944
1.56413,0.593642,0.0240023,0.563507,23.5353,6442450944
1.55893,0.593729,0.0240084,0.563613,23.9729,6442450944
1.56487,0.593691,0.0240097,0.563525,23.6369,6442450944
1.55848,0.593625,0.024,0.563524,24.1213,6442450944
1.56602,0.593701,0.0240118,0.563543,23.5341,6442450944
1.56409,0.593641,0.0240021,0.563532,24.095,6442450944
1.55626,0.593699,0.0240119,0.563547,23.5261,6442450944
1.56359,0.593766,0.0240061,0.56352,24.1071,6442450944
1.56618,0.593714,0.0240119,0.563519,23.6002,6442450944
