broadcast_s,h2d_transfer_s,kernel_execution_s,d2h_transfer_s,reduce_op_s,total_buffer_size_bytes
0.522109,0.198056,0.00800843,0.190392,7.97184,2147483648
0.522209,0.198048,0.00803799,0.187307,7.89093,2147483648
0.522203,0.198021,0.00801023,0.187302,7.86021,2147483648
0.521711,0.198026,0.00801242,0.1873,7.85211,2147483648
0.521614,0.198032,0.00803767,0.187311,7.97364,2147483648
0.520134,0.198061,0.00803292,0.187385,7.84775,2147483648
0.522137,0.19803,0.00800769,0.187331,7.85828,2147483648
0.521769,0.19799,0.00801573,0.187306,7.84774,2147483648
0.522289,0.197973,0.00801219,0.187317,7.89149,2147483648
0.522053,0.198029,0.00800972,0.187397,7.88192,2147483648
