broadcast_s,h2d_transfer_s,kernel_execution_s,d2h_transfer_s,reduce_op_s,total_buffer_size_bytes
0.493118,0.20092,0.00803562,0.187695,0.93499,2147483648
0.493249,0.200859,0.00801014,0.187695,0.935349,2147483648
0.493241,0.200868,0.00801008,0.187686,0.935033,2147483648
0.491676,0.200925,0.00801985,0.187739,0.934804,2147483648
0.492,0.200868,0.00801003,0.187681,0.935135,2147483648
0.492041,0.200894,0.00800957,0.187703,0.936147,2147483648
0.491623,0.200865,0.00801024,0.187682,0.936303,2147483648
0.491419,0.200878,0.00800711,0.187699,0.935083,2147483648
0.491196,0.200859,0.00800763,0.187828,0.93628,2147483648
0.491307,0.200866,0.00800946,0.187733,0.935423,2147483648
