broadcast_s,h2d_transfer_s,kernel_execution_s,d2h_transfer_s,reduce_op_s,total_buffer_size_bytes
1.4783,0.60202,0.0240238,0.565327,2.80474,6442450944
1.47548,0.602001,0.024015,0.565306,2.8083,6442450944
1.4751,0.601948,0.0240084,0.565302,2.80924,6442450944
1.47266,0.601953,0.0240246,0.56532,2.80493,6442450944
1.47361,0.601993,0.0240065,0.56537,2.80515,6442450944
1.47332,0.601949,0.0240064,0.565265,2.80449,6442450944
1.47505,0.601993,0.0240053,0.565319,2.80898,6442450944
1.47411,0.602002,0.0240127,0.565274,2.80531,6442450944
1.4743,0.601983,0.0240067,0.565281,2.81024,6442450944
1.47533,0.60192,0.0240133,0.565343,2.80286,6442450944
