broadcast_s,h2d_transfer_s,kernel_execution_s,d2h_transfer_s,reduce_op_s,total_buffer_size_bytes
0.983023,0.401936,0.016016,0.375715,1.87279,4294967296
0.983098,0.401872,0.0160215,0.375612,1.87175,4294967296
0.982137,0.401868,0.0160192,0.375567,1.86942,4294967296
0.983464,0.401916,0.0160188,0.375542,1.8722,4294967296
0.98213,0.40186,0.0160174,0.375585,1.86911,4294967296
0.982233,0.401879,0.0160375,0.375615,1.86875,4294967296
0.982361,0.401834,0.0160205,0.375562,1.86957,4294967296
0.982405,0.401847,0.0159957,0.375573,1.86876,4294967296
0.984561,0.401819,0.0159932,0.375552,1.86864,4294967296
0.985213,0.401852,0.0160005,0.37559,1.86833,4294967296
