nccl_broadcast_ms,wall_broadcast_s,nccl_kernel_ms,wall_kernel_s,nccl_reduce_ms,wall_reduce_s,total_buffer_size_bytes
98.7905,0.100748,3.99731,0.00400773,106.667,0.10668,1073741824
98.9977,0.100965,3.9992,0.00400793,106.247,0.10626,1073741824
98.8316,0.100798,3.99827,0.00400718,105.554,0.105568,1073741824
99.1021,0.101068,3.99933,0.0040088,106.485,0.106499,1073741824
100.575,0.102539,4.00211,0.00401132,106.641,0.106653,1073741824
100.521,0.102488,4.00058,0.00400924,106.419,0.106434,1073741824
100.136,0.102093,3.9999,0.0040087,106.176,0.106195,1073741824
100.17,0.102103,4.0071,0.00401655,106.891,0.106904,1073741824
100.501,0.102466,3.99738,0.00400691,106.226,0.106238,1073741824
100.531,0.102496,3.99805,0.00400688,105.821,0.105834,1073741824
