nccl_broadcast_ms,wall_broadcast_s,nccl_kernel_ms,wall_kernel_s,nccl_reduce_ms,wall_reduce_s,total_buffer_size_bytes
200.58,0.204377,7.99194,0.00800224,212.408,0.21242,2147483648
199.566,0.203371,7.9912,0.00800577,210.176,0.210188,2147483648
200.436,0.20424,7.99104,0.00800089,211.577,0.211589,2147483648
200.748,0.204556,8.02256,0.0080342,213.267,0.213279,2147483648
199.571,0.203376,7.99344,0.00800318,212.029,0.212041,2147483648
199.226,0.203027,7.99078,0.00800302,210.794,0.210807,2147483648
199.529,0.20334,8.01904,0.0080281,211.666,0.211678,2147483648
200.572,0.204377,7.9927,0.00800121,211.511,0.211523,2147483648
200.795,0.204598,7.99037,0.00799896,211.53,0.211543,2147483648
200.936,0.20474,7.99245,0.00800104,211.092,0.211104,2147483648
