nccl_broadcast_ms,wall_broadcast_s,nccl_kernel_ms,wall_kernel_s,nccl_reduce_ms,wall_reduce_s,total_buffer_size_bytes
596.617,0.608135,23.9929,0.0240027,651.409,0.651419,6442450944
596.97,0.608489,23.9592,0.0239684,654.337,0.654346,6442450944
596.521,0.608044,23.9574,0.0239686,654.87,0.654887,6442450944
597.229,0.608716,23.9651,0.0239743,651.414,0.651423,6442450944
596.604,0.608123,23.9564,0.0239654,644.027,0.644036,6442450944
592.377,0.603897,23.9608,0.0239711,649.823,0.649832,6442450944
596.304,0.60783,23.987,0.0239972,645.096,0.645106,6442450944
596.243,0.607763,23.9595,0.0239682,645.344,0.645353,6442450944
592.246,0.603763,23.9554,0.0239651,642.487,0.642497,6442450944
597.02,0.60854,23.9618,0.0239707,643.257,0.643267,6442450944
